Kanji;Kana;Romaji;Translation
反抗;はんこう;hankou;opposition, resistance
犯人;はんにん;hannin;offender, criminal
半年;;hantoshi;half year​
犯罪;はんざい;hanzai;crime, offense
発表;はっぴょう;happyou;announcement
腹;はら;hara;abdomen, stomach
原;はら;hara;field, plain
針;はり;hari;needle, pin
鋏;;hasami;scissors
破産;はさん;hasan;bankruptcy
端;はし;hashi;end, edge
発車;はっしゃ;hassha;departure of a vehicle
発生;;hassei;outbreak, occurrence
旗;はた;hata;flag
畑;はたけ;hatake;field
働き;はたらき;hataraki;work, labor
発達;はったつ;hattatsu;development, growth
発展;はってん;hatten;development, growth
発売;;hatsubai;sale, launch (product)​
発明;はつめい;hatsumei;invention
早めに;;hayame ni;ahead of time
外す;はずす;hazusu;to undo, to remove
塀;へい;hei;wall, fence
平方メートル;;heihou meetoru;square meter​
平日;;heijitsu;weekday, ordinary days
平均;へいきん;heikin;average, mean
平和;へいわ;heiwa;peace, harmony
変化;へんか;henka;change, alteration
変更;へんこう;henkou;change, modification
返却;;henkyaku;return of something, repayment​
減らす;へらす;herasu;to abate, to decrease
減る;へる;heru;to decrease, to diminish
費;;hi;cost, expense​
冷える;;hieru;to grow cold, to get chilly
被害;ひがい;higai;(suffering) damage, harm
悲劇;ひげき;higeki;tragedy
批判;ひはん;hihan;criticism, judgment
批評;ひひょう;hihyou;criticism, review
非常;ひじょう;hijou;emergency, extraordinary
比較;ひかく;hikaku;comparison
引き受ける;;hikiukeru;to undertake, to accept
飛行;ひこう;hikou;aviation, flight
轢く;;hiku;to run over (with a vehicle)
秘密;ひみつ;himitsu;secret, secrecy
紐;ひも;himo;string, cord
引っ張る;ひっぱる;hipparu;to pull, to draw
広がる;ひろがる;hirogaru;to spread out, to extend
昼寝;;hirune;nap (afternoon), siesta​
必死;ひっし;hisshi;frantic, desperate
額;がく;hitai;forehead, brow
否定;ひてい;hitei;negation, denial
人々;;hitobito;people\; men and women
人込み;;hitogomi;crowd of people
一言;ひとこと;hitokoto;single word, a few words
一人暮らし;;hitorigurashi;living by oneself, living alone​
等しい;ひとしい;hitoshii;equal
費用;ひよう;hiyou;cost, expense
膝;ひざ;hiza;knee, lap
日付;ひづけ;hizuke;date
略;;hobo;almost, roughly
歩道;ほどう;hodou;footpath, walkway
